time_s,range_m,pursuer_speed_m_s,closing_velocity_m_s,a_cmd_norm_m_s2,a_applied_norm_m_s2,aM_parallel_m_s2,aM_total_norm_m_s2,saturated,guidance_updated
37.58,33162.04528122903,684.1030201929686,719.9668822334397,1.660873776739998,1.660873776739998,15.0,15.091669944120252,False,True
37.59,33154.84414183518,684.2530203945389,720.1137820042181,1.6611584588986106,1.6611584588986106,15.0,15.09170127671398,False,True
37.6,33147.6415334321,684.4030205961341,720.260682858508,1.661443935958353,1.661443935958353,15.0,15.091732702123133,False,True
37.61,33140.43745600894,684.5530207977544,720.4075847969849,1.6617302082130596,1.6617302082130596,15.0,15.09176422042459,False,True
37.62,33133.23190955487,684.7030209993999,720.5544878203242,1.6620172759549685,1.6620172759549685,15.0,15.091795831695206,False,True
37.63,33126.02489405901,684.8530212010711,720.7013919292007,1.6623051394747266,1.6623051394747266,15.0,15.091827536011802,False,True
37.64,33118.81640951051,685.0030214027679,720.8482971242889,1.6625937990613857,1.6625937990613857,15.0,15.091859333451174,False,True
37.65,33111.60645589851,685.1530216044905,720.9952034062626,1.662883255002401,1.662883255002401,15.0,15.091891224090089,False,True
37.660000000000004,33104.39503321212,685.3030218062394,721.1421107757959,1.6631735075836367,1.6631735075836367,15.0,15.091923208005266,False,True
37.67,33097.18214144046,685.4530220080143,721.2890192335615,1.6634645570893503,1.6634645570893503,15.0,15.091955285273425,False,True
37.68,33089.96778057265,685.6030222098158,721.4359287802328,1.6637564038022141,1.6637564038022141,15.0,15.091987455971228,False,True
37.69,33082.75195059779,685.7530224116439,721.5828394164819,1.664049048003288,1.664049048003288,15.0,15.092019720175319,False,True
37.7,33075.534651504975,685.9030226134989,721.7297511429806,1.664342489972041,1.664342489972041,15.0,15.092052077962306,False,True
37.71,33068.31588328329,686.0530228153812,721.8766639604011,1.664636729986338,1.664636729986338,15.0,15.092084529408773,False,True
37.72,33061.09564592184,686.2030230172904,722.0235778694139,1.664931768322437,1.664931768322437,15.0,15.092117074591265,False,True
37.730000000000004,33053.87393940968,686.3530232192271,722.1704928706905,1.665227605255007,1.665227605255007,15.0,15.09214971358631,False,True
37.74,33046.65076373589,686.5030234211915,722.3174089649008,1.665524241057096,1.665524241057096,15.0,15.092182446470384,False,True
37.75,33039.42611888954,686.6530236231837,722.4643261527144,1.6658216760001554,1.6658216760001554,15.0,15.09221527331995,False,True
37.76,33032.20000485968,686.8030238252039,722.6112444348017,1.6661199103540358,1.6661199103540358,15.0,15.092248194211429,False,True
37.77,33024.97242163535,686.9530240272522,722.7581638118319,1.6664189443869775,1.6664189443869775,15.0,15.092281209221214,False,True
37.78,33017.743369205615,687.1030242293291,722.9050842844727,1.6667187783656068,1.6667187783656068,15.0,15.092314318425672,False,True
37.79,33010.5128475595,687.2530244314345,723.0520058533931,1.6670194125549511,1.6670194125549511,15.0,15.092347521901127,False,True
37.800000000000004,33003.28085668603,687.4030246335687,723.1989285192612,1.667320847218426,1.667320847218426,15.0,15.092380819723878,False,True
37.81,32996.04739657425,687.553024835732,723.3458522827441,1.667623082617834,1.667623082617834,15.0,15.092414211970192,False,True
37.82,32988.81246721316,687.7030250379244,723.4927771445089,1.66792611901337,1.66792611901337,15.0,15.092447698716303,False,True
37.83,32981.57606859177,687.8530252401462,723.6397031052225,1.6682299566636196,1.6682299566636196,15.0,15.092481280038413,False,True
